dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.20235896477251566,Logistic Regression,0.008124700000735174,0.00013209999997343402,0.05555555555555558,0
cancer,0.20235896477251566,Neural Network,0.13450209999973595,0.00038099999983387534,0.05555555555555558,75266.0
cancer,0.21209508879201905,QDA,0.0007962999998198939,0.0001874999998108251,0.04629629629629628,1860.0
cancer,0.21209508879201905,LDA,0.0011291000000710483,0.0001326000001427019,0.12037037037037035,960.0
cancer,0.21209508879201905,Decicision Tree,0.0010558000003584311,0.0001461000001654611,0.11111111111111116,22.0
cancer,0.21209508879201905,Random Forrest,0.1030639999999039,0.004747300000417454,0.03703703703703709,2744.0
cancer,0.21209508879201905,SVM,0.001087500000721775,0.00012900000001536682,0.05555555555555558,60.0
cancer,0.21209508879201905,AdaBoost,0.14487040000039997,0.012443900000107533,0.02777777777777779,1460.0
cancer,0.21209508879201905,kNN,0.0003484999997453997,0.005206300000281772,0.10185185185185186,0
cancer,0.21209508879201905,Logistic Regression,0.007410500000332831,0.00013359999957174296,0.07407407407407407,0
cancer,0.21209508879201905,Neural Network,0.15974349999942206,0.0003173000004608184,0.07407407407407407,75266.0
cancer,0.22229964825261944,QDA,0.0008127999999487656,0.00023609999971085927,0.03703703703703709,1860.0
cancer,0.22229964825261944,LDA,0.001144400000157475,0.00012849999984609894,0.04629629629629628,960.0
cancer,0.22229964825261944,Decicision Tree,0.0010071999995489023,0.00014180000016494887,0.08333333333333337,22.0
cancer,0.22229964825261944,Random Forrest,0.10198330000002898,0.005663099999765109,0.05555555555555558,2108.0
cancer,0.22229964825261944,SVM,0.0012937999999849126,0.0001556999995955266,0.07407407407407407,60.0
cancer,0.22229964825261944,AdaBoost,0.1447384000002785,0.01178390000040963,0.03703703703703709,1468.0
cancer,0.22229964825261944,kNN,0.00042349999966972973,0.005306800000653311,0.09259259259259256,0
cancer,0.22229964825261944,Logistic Regression,0.00798899999972491,0.0001253000000360771,0.08333333333333337,0
cancer,0.22229964825261944,Neural Network,0.16442560000086814,0.00024759999996604165,0.01851851851851849,75266.0
cancer,0.2329951810515372,QDA,0.000791699999354023,0.0001920000004247413,0.03703703703703709,1860.0
cancer,0.2329951810515372,LDA,0.001571699999658449,0.00013860000035492703,0.07407407407407407,960.0
cancer,0.2329951810515372,Decicision Tree,0.0010229999998045969,0.00014210000063030748,0.12037037037037035,22.0
cancer,0.2329951810515372,Random Forrest,0.09463269999923796,0.004167200000665616,0.04629629629629628,2368.0
cancer,0.2329951810515372,SVM,0.0010207000004811562,0.00013299999955052044,0.05555555555555558,60.0
cancer,0.2329951810515372,AdaBoost,0.14742500000011205,0.011917400000129419,0.03703703703703709,1440.0
cancer,0.2329951810515372,kNN,0.0004129999997530831,0.00510389999999461,0.08333333333333337,0
cancer,0.2329951810515372,Logistic Regression,0.007488500000363274,0.00012169999990874203,0.05555555555555558,0
cancer,0.2329951810515372,Neural Network,0.1572317000000112,0.00025099999947997276,0.05555555555555558,75266.0
cancer,0.2442053094548651,QDA,0.0007912000000942498,0.0002334000000701053,0.06481481481481477,1860.0
cancer,0.2442053094548651,LDA,0.0011577999994187849,0.00012969999988854397,0.06481481481481477,960.0
cancer,0.2442053094548651,Decicision Tree,0.0012509999996836996,0.0001430000002073939,0.12037037037037035,26.0
cancer,0.2442053094548651,Random Forrest,0.09013790000062727,0.004138099999181577,0.04629629629629628,2772.0
cancer,0.2442053094548651,SVM,0.0019498999999996158,0.0001573999998072395,0.05555555555555558,60.0
cancer,0.2442053094548651,AdaBoost,0.15167620000011084,0.011914200000319397,0.05555555555555558,1480.0
cancer,0.2442053094548651,kNN,0.000393899999835412,0.00572439999996277,0.08333333333333337,0
cancer,0.2442053094548651,Logistic Regression,0.007036500000140222,0.0001239000002897228,0.04629629629629628,0
cancer,0.2442053094548651,Neural Network,0.15305390000048646,0.00025860000005195616,0.04629629629629628,75266.0
cancer,0.2559547922699536,QDA,0.0008252999996329891,0.00018980000004376052,0.03703703703703709,1860.0
cancer,0.2559547922699536,LDA,0.00135610000052111,0.00018840000029740622,0.05555555555555558,960.0
cancer,0.2559547922699536,Decicision Tree,0.0010910000000876607,0.0001464000006308197,0.11111111111111116,22.0
cancer,0.2559547922699536,Random Forrest,0.09409390000018902,0.0043943999999100924,0.05555555555555558,2164.0
cancer,0.2559547922699536,SVM,0.002543100000366394,0.00016219999997701962,0.05555555555555558,60.0
